[2024-01-02T19:46:33.004+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: 24_01_02_fx_mkt_data.first_attempt manual__2024-01-02T19:46:27.864544+00:00 [queued]>
[2024-01-02T19:46:33.039+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: 24_01_02_fx_mkt_data.first_attempt manual__2024-01-02T19:46:27.864544+00:00 [queued]>
[2024-01-02T19:46:33.040+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 6
[2024-01-02T19:46:33.096+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): first_attempt> on 2024-01-02 19:46:27.864544+00:00
[2024-01-02T19:46:33.114+0000] {standard_task_runner.py:57} INFO - Started process 3412 to run task
[2024-01-02T19:46:33.125+0000] {standard_task_runner.py:84} INFO - Running: ['airflow', 'tasks', 'run', '24_01_02_fx_mkt_data', 'first_attempt', 'manual__2024-01-02T19:46:27.864544+00:00', '--job-id', '232', '--raw', '--subdir', 'DAGS_FOLDER/get_fx_mkt_data.py', '--cfg-path', '/tmp/tmpeedaoyxn']
[2024-01-02T19:46:33.132+0000] {standard_task_runner.py:85} INFO - Job 232: Subtask first_attempt
[2024-01-02T19:46:33.366+0000] {task_command.py:416} INFO - Running <TaskInstance: 24_01_02_fx_mkt_data.first_attempt manual__2024-01-02T19:46:27.864544+00:00 [running]> on host ff92cbb9a252
[2024-01-02T19:46:33.787+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='24_01_02_fx_mkt_data' AIRFLOW_CTX_TASK_ID='first_attempt' AIRFLOW_CTX_EXECUTION_DATE='2024-01-02T19:46:27.864544+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-01-02T19:46:27.864544+00:00'
[2024-01-02T19:46:33.791+0000] {oandapyV20.py:207} INFO - setting up API-client for environment practice
[2024-01-02T19:46:35.236+0000] {logging_mixin.py:154} INFO - vendor id: 6
[2024-01-02T19:46:35.256+0000] {logging_mixin.py:154} INFO - security id: 46686, symbol: AUD_USD, last date: None
[2024-01-02T19:46:35.260+0000] {oandapyV20.py:261} INFO - performing request https://api-fxpractice.oanda.com/v3/instruments/AUD_USD/candles
[2024-01-02T19:46:35.774+0000] {oandapyV20.py:261} INFO - performing request https://api-fxpractice.oanda.com/v3/instruments/AUD_USD/candles
[2024-01-02T19:46:36.214+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.220+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.226+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.232+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.237+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.242+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.249+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.254+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.260+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.266+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.272+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.278+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.284+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.289+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.297+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.303+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.308+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.314+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.320+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.326+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.333+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.340+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.346+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.352+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.358+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.364+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.370+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.376+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.382+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.388+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.394+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.400+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.405+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.412+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.418+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.425+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.431+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.437+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.442+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.448+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.453+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.459+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.464+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.470+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.475+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.480+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.486+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.491+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.497+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.503+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.509+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.515+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.521+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.526+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.532+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.539+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.544+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.551+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.556+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.561+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.566+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.572+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
